Advisor Name,Experience (Years),Profession,Certifications,Region,Rating (Out of 5)
Krishna Desai,17,Investment Advisor,"SEBI RIA, CPA",Madhya Pradesh,4.8
Reyansh Tiwari,6,Chartered Accountant,FRM,Madhya Pradesh,4.7
Aadhya Bansal,5,Financial Planner,"CA, CPA",Madhya Pradesh,4.8
Meera Joshi,12,Wealth Manager,"CPA, CFA",Madhya Pradesh,4.8
Vivaan Iyer,16,Tax Consultant,CFP,Madhya Pradesh,3.4
Aarav Desai,16,Chartered Accountant,FRM,Madhya Pradesh,4.8
Sai Malhotra,28,Tax Consultant,"CA, FRM",Madhya Pradesh,4.7
Arjun Saxena,17,Tax Consultant,CFA,Madhya Pradesh,4.5
Myra Bansal,7,Financial Planner,CFP,Madhya Pradesh,4.2
Pari Bansal,30,Investment Advisor,CA,Madhya Pradesh,3.2
Anaya Iyer,25,Financial Planner,CFA,Madhya Pradesh,3.3
Aarohi Rao,22,Wealth Manager,CA,Madhya Pradesh,3.9
Vihaan Rao,12,Investment Advisor,"CFP, FRM",Madhya Pradesh,4.7
Aarohi Kulkarni,14,Tax Consultant,CA,Madhya Pradesh,4.2
Ishaan Mehta,8,Wealth Manager,CA,Madhya Pradesh,4.7
Pari Rao,5,Financial Planner,"FRM, CPA",Madhya Pradesh,3.7
Myra Nair,8,Investment Advisor,SEBI RIA,Madhya Pradesh,3.7
Meera Malhotra,20,Tax Consultant,CPA,Madhya Pradesh,3.9
Meera Gupta,13,Financial Planner,"SEBI RIA, CFP",Madhya Pradesh,4.8
Pari Malhotra,4,Financial Planner,CA,Madhya Pradesh,3.2
Aarohi Saxena,19,Financial Planner,"CFP, FRM",Madhya Pradesh,3.8
Aarav Kapoor,17,Wealth Manager,"CPA, SEBI RIA",Maharashtra,3.3
Aditya Verma,24,Investment Advisor,FRM,Maharashtra,3.6
Krishna Nair,26,Chartered Accountant,CFA,Maharashtra,3.2
Krishna Malhotra,2,Wealth Manager,"CPA, CA",Maharashtra,4.6
Avni Gupta,24,Chartered Accountant,"FRM, CFP",Maharashtra,3.8
Anaya Rao,5,Tax Consultant,"SEBI RIA, CFA",Maharashtra,4.3
Diya Sharma,8,Investment Advisor,"CPA, CA",Maharashtra,4.3
Ishaan Kulkarni,23,Financial Planner,"CA, SEBI RIA",Maharashtra,4.0
Reyansh Chowdhury,4,Chartered Accountant,FRM,Maharashtra,4.4
Aarav Iyer,3,Investment Advisor,"SEBI RIA, CPA",Maharashtra,4.9
Vivaan Verma,23,Tax Consultant,"CFA, SEBI RIA",Maharashtra,3.7
Saanvi Desai,1,Chartered Accountant,"CFP, CFA",Maharashtra,4.9
Aarav Malhotra,28,Wealth Manager,CFA,Maharashtra,4.9
Vivaan Kulkarni,6,Financial Planner,"SEBI RIA, CPA",Maharashtra,3.6
Ayaan Kulkarni,28,Tax Consultant,"CA, CPA",Maharashtra,4.8
Aadhya Saxena,23,Financial Planner,FRM,Maharashtra,3.2
Reyansh Malhotra,16,Financial Planner,CA,Maharashtra,3.0
Vivaan Chowdhury,19,Investment Advisor,FRM,Maharashtra,3.1
Krishna Iyer,1,Financial Planner,"FRM, SEBI RIA",Maharashtra,3.3
Ayaan Sharma,1,Chartered Accountant,"CA, SEBI RIA",Maharashtra,4.0
Aarav Mehta,20,Investment Advisor,CFP,Maharashtra,3.5
Aditya Agarwal,3,Chartered Accountant,"FRM, CFA",Maharashtra,3.4
Myra Kapoor,8,Wealth Manager,"FRM, CPA",Maharashtra,4.7
Kiara Kapoor,23,Wealth Manager,"CFP, CPA",Maharashtra,4.1
Kiara Joshi,4,Financial Planner,"CA, FRM",Maharashtra,3.2
Ayaan Kapoor,10,Investment Advisor,CA,Maharashtra,3.2
Arjun Joshi,25,Tax Consultant,CA,Maharashtra,3.1
Avni Malhotra,13,Chartered Accountant,SEBI RIA,Maharashtra,4.1
Aarohi Reddy,6,Tax Consultant,CA,Maharashtra,4.3
Avni Nair,19,Investment Advisor,CFA,Maharashtra,3.3
Sai Bansal,27,Tax Consultant,CA,Manipur,4.3
Aditya Reddy,14,Chartered Accountant,"CFP, CA",Manipur,3.3
Avni Mehta,22,Tax Consultant,CFP,Manipur,4.9
Ayaan Joshi,3,Investment Advisor,"CPA, FRM",Manipur,3.5
Reyansh Verma,7,Tax Consultant,"CFP, CPA",Manipur,4.2
Aarav Rao,4,Investment Advisor,"CFA, FRM",Manipur,3.8
Pari Nambiar,10,Financial Planner,"CA, FRM",Manipur,4.5
Aarav Joshi,25,Tax Consultant,"FRM, CFP",Manipur,4.7
Sai Iyer,25,Investment Advisor,"CFP, CA",Manipur,3.5
Pari Reddy,11,Chartered Accountant,"CFA, CA",Manipur,3.2
Vihaan Verma,4,Investment Advisor,"CFP, CFA",Manipur,3.8
Arjun Bansal,26,Wealth Manager,SEBI RIA,Manipur,3.1
Aadhya Iyer,6,Wealth Manager,CFA,Manipur,4.7
Pari Gupta,15,Chartered Accountant,"SEBI RIA, CPA",Manipur,4.1
Myra Mehta,9,Investment Advisor,"SEBI RIA, CFP",Manipur,3.4
Avni Saxena,24,Tax Consultant,"CFP, CFA",Manipur,3.7
Krishna Reddy,5,Wealth Manager,"CFP, CA",Manipur,3.7
Kiara Malhotra,1,Investment Advisor,CFP,Manipur,3.5
Myra Iyer,8,Chartered Accountant,"SEBI RIA, CFP",Manipur,3.8
Arjun Patel,7,Chartered Accountant,"SEBI RIA, CFP",Manipur,3.8
Avni Nambiar,30,Wealth Manager,SEBI RIA,Manipur,3.2
Ayaan Mehta,30,Investment Advisor,CFP,Manipur,4.7
Aarohi Nambiar,13,Chartered Accountant,FRM,Manipur,3.5
Myra Tiwari,8,Investment Advisor,CA,Manipur,3.4
Pari Mehta,1,Investment Advisor,CFA,Manipur,3.5
Sai Rao,6,Investment Advisor,"CA, CFA",Manipur,3.7
Vihaan Malhotra,21,Tax Consultant,CFA,Manipur,3.5
Diya Nambiar,16,Wealth Manager,CFA,Manipur,4.4
Meera Mehta,11,Financial Planner,"FRM, CA",Manipur,3.6
Arjun Gupta,15,Tax Consultant,"SEBI RIA, FRM",Manipur,4.7
Saanvi Joshi,4,Chartered Accountant,"FRM, SEBI RIA",Meghalaya,3.7
Aadhya Nair,24,Financial Planner,"CA, CFP",Meghalaya,3.3
Aarohi Kapoor,8,Financial Planner,"CFA, SEBI RIA",Meghalaya,4.6
Aarohi Tiwari,7,Wealth Manager,"CA, CFP",Meghalaya,3.9
Sai Sharma,11,Investment Advisor,CFA,Meghalaya,4.4
Reyansh Rao,2,Tax Consultant,CFP,Meghalaya,3.9
Meera Kapoor,17,Investment Advisor,"CFP, FRM",Meghalaya,3.9
Pari Joshi,24,Financial Planner,SEBI RIA,Meghalaya,4.0
Myra Saxena,17,Chartered Accountant,"SEBI RIA, CA",Meghalaya,4.8
Arjun Tiwari,12,Investment Advisor,"SEBI RIA, CA",Meghalaya,4.8
Pari Iyer,13,Wealth Manager,"CA, CFA",Meghalaya,3.5
Anaya Sharma,17,Investment Advisor,CPA,Meghalaya,4.2
Ishaan Rao,30,Tax Consultant,FRM,Meghalaya,4.9
Meera Kulkarni,28,Chartered Accountant,"CFA, SEBI RIA",Meghalaya,4.4
Krishna Joshi,21,Financial Planner,CPA,Meghalaya,3.6
Anaya Kulkarni,26,Financial Planner,"SEBI RIA, CFA",Meghalaya,4.3
Ishaan Agarwal,20,Wealth Manager,FRM,Meghalaya,3.3
Anaya Tiwari,26,Chartered Accountant,SEBI RIA,Meghalaya,4.0
Anaya Agarwal,6,Chartered Accountant,"CFP, FRM",Meghalaya,3.7
Anaya Bansal,29,Tax Consultant,CPA,Meghalaya,3.6
Krishna Sharma,7,Wealth Manager,"CPA, FRM",Meghalaya,3.1
Pari Patel,11,Investment Advisor,"CPA, CFA",Meghalaya,4.5
Aadhya Mehta,10,Financial Planner,"CPA, CFP",Meghalaya,3.1
Myra Kulkarni,30,Investment Advisor,CPA,Meghalaya,4.0
Anaya Saxena,10,Financial Planner,FRM,Meghalaya,4.3
Diya Gupta,3,Financial Planner,"CPA, CFA",Meghalaya,4.5
Avni Kulkarni,27,Chartered Accountant,CFA,Meghalaya,4.7
Aarav Kulkarni,10,Investment Advisor,"SEBI RIA, CFP",Meghalaya,4.2
Pari Kapoor,13,Investment Advisor,"SEBI RIA, CA",Meghalaya,4.0
Ayaan Nair,21,Investment Advisor,"CA, CFP",Meghalaya,3.0
Aarohi Sharma,12,Tax Consultant,"CFP, FRM",Mizoram,3.9
Myra Sharma,28,Financial Planner,CPA,Mizoram,4.6
Myra Nambiar,28,Financial Planner,"CA, CPA",Mizoram,3.5
Saanvi Nair,19,Tax Consultant,SEBI RIA,Mizoram,3.8
Krishna Bansal,2,Wealth Manager,CA,Mizoram,4.9
Avni Verma,23,Tax Consultant,CFP,Mizoram,3.6
Avni Rao,15,Chartered Accountant,SEBI RIA,Mizoram,4.4
Reyansh Mehta,22,Chartered Accountant,"CPA, SEBI RIA",Mizoram,4.5
Pari Nair,18,Chartered Accountant,CA,Mizoram,3.9
Sai Saxena,21,Chartered Accountant,"CFA, FRM",Mizoram,3.2
Arjun Reddy,17,Wealth Manager,"CPA, SEBI RIA",Mizoram,4.3
Vihaan Saxena,11,Wealth Manager,SEBI RIA,Mizoram,3.1
Saanvi Malhotra,17,Financial Planner,CPA,Mizoram,4.6
Avni Kapoor,25,Wealth Manager,"FRM, CFP",Mizoram,4.5
Anaya Nair,19,Chartered Accountant,"CPA, FRM",Mizoram,4.5
Aarohi Patel,7,Wealth Manager,"CA, FRM",Mizoram,4.2
Vihaan Tiwari,11,Investment Advisor,"CFP, FRM",Mizoram,3.2
Vihaan Kapoor,6,Chartered Accountant,CFA,Mizoram,3.3
Saanvi Rao,21,Wealth Manager,"CFA, CFP",Mizoram,4.3
Saanvi Tiwari,7,Financial Planner,"SEBI RIA, FRM",Mizoram,3.4
Ishaan Malhotra,21,Wealth Manager,"CFP, CA",Mizoram,3.9
Krishna Gupta,4,Investment Advisor,"CPA, CFA",Mizoram,4.8
Meera Saxena,18,Wealth Manager,CA,Mizoram,4.0
Anaya Nambiar,29,Tax Consultant,CFA,Mizoram,3.9
Avni Iyer,8,Financial Planner,"SEBI RIA, CFA",Mizoram,3.4
Saanvi Kulkarni,2,Chartered Accountant,CFA,Mizoram,3.5
Pari Tiwari,1,Wealth Manager,SEBI RIA,Mizoram,3.0
Ayaan Malhotra,18,Chartered Accountant,"CFA, SEBI RIA",Mizoram,3.8
Vivaan Joshi,14,Tax Consultant,"SEBI RIA, FRM",Mizoram,4.9
Diya Rao,19,Investment Advisor,"CPA, CFA",Mizoram,4.0
Aadhya Patel,29,Chartered Accountant,FRM,Nagaland,4.1
Kiara Nair,23,Financial Planner,"CFA, CFP",Nagaland,4.5
Diya Malhotra,5,Investment Advisor,CFA,Nagaland,3.5
Aditya Patel,25,Tax Consultant,FRM,Nagaland,4.2
Meera Iyer,27,Tax Consultant,"CPA, CA",Nagaland,4.1
Myra Desai,7,Investment Advisor,"CA, FRM",Nagaland,4.0
Sai Mehta,14,Tax Consultant,"FRM, CA",Nagaland,3.6
Aadhya Tiwari,3,Tax Consultant,CFP,Nagaland,3.6
Meera Rao,17,Chartered Accountant,CPA,Nagaland,4.8
Aarohi Iyer,9,Financial Planner,"SEBI RIA, FRM",Nagaland,3.8
Ayaan Desai,28,Wealth Manager,"CFA, CFP",Nagaland,3.9
Reyansh Agarwal,29,Tax Consultant,"FRM, CA",Nagaland,3.1
Arjun Desai,29,Wealth Manager,"SEBI RIA, CFA",Nagaland,4.8
Arjun Kapoor,8,Wealth Manager,CFP,Nagaland,5.0
Ayaan Iyer,10,Financial Planner,CA,Nagaland,4.9
Vihaan Patel,23,Tax Consultant,"CFP, CFA",Nagaland,5.0
Aditya Gupta,23,Financial Planner,CFA,Nagaland,3.6
Krishna Chowdhury,27,Tax Consultant,CPA,Nagaland,3.6
Pari Agarwal,7,Investment Advisor,"FRM, CFA",Nagaland,3.6
Avni Patel,23,Tax Consultant,"FRM, SEBI RIA",Nagaland,4.8
Ayaan Tiwari,15,Financial Planner,CA,Nagaland,4.6
Saanvi Kapoor,11,Investment Advisor,"CFA, CPA",Nagaland,3.6
Aarohi Desai,29,Chartered Accountant,CFA,Nagaland,3.9
Sai Patel,3,Wealth Manager,"CA, CFA",Nagaland,3.7
Myra Malhotra,14,Tax Consultant,CFA,Nagaland,3.4
Meera Patel,1,Investment Advisor,"CA, CPA",Nagaland,3.2
Aadhya Joshi,14,Wealth Manager,"SEBI RIA, CPA",Nagaland,4.1
Reyansh Sharma,1,Wealth Manager,"CA, SEBI RIA",Nagaland,3.9
Diya Chowdhury,5,Financial Planner,"CFP, CPA",Nagaland,3.1
Diya Patel,12,Investment Advisor,FRM,Nagaland,3.9
Meera Verma,16,Investment Advisor,CPA,Odisha,3.3
Diya Iyer,24,Investment Advisor,"CFP, FRM",Odisha,4.9
Saanvi Iyer,19,Tax Consultant,"FRM, CFP",Odisha,4.4
Aarohi Nair,28,Wealth Manager,"CFA, SEBI RIA",Odisha,4.3
Aarav Reddy,24,Chartered Accountant,CFA,Odisha,3.2
Avni Joshi,25,Chartered Accountant,"SEBI RIA, CFP",Odisha,3.8
Avni Chowdhury,19,Investment Advisor,"FRM, CA",Odisha,3.7
Diya Verma,3,Chartered Accountant,"CFP, FRM",Odisha,3.1
Ayaan Reddy,8,Chartered Accountant,"FRM, SEBI RIA",Odisha,4.3
Aadhya Malhotra,25,Tax Consultant,CFA,Odisha,4.9
Saanvi Nambiar,29,Tax Consultant,"SEBI RIA, CPA",Odisha,3.9
Sai Joshi,8,Wealth Manager,"FRM, CA",Odisha,4.8
Vihaan Nair,30,Wealth Manager,FRM,Odisha,3.7
Aadhya Verma,28,Chartered Accountant,FRM,Odisha,4.9
Anaya Gupta,24,Tax Consultant,SEBI RIA,Odisha,3.0
Aadhya Kulkarni,17,Investment Advisor,"CPA, SEBI RIA",Odisha,4.1
Saanvi Verma,15,Financial Planner,FRM,Odisha,4.3
Vihaan Bansal,6,Chartered Accountant,CPA,Odisha,3.5
Saanvi Mehta,12,Investment Advisor,CFA,Odisha,4.8
Arjun Chowdhury,24,Wealth Manager,"CFA, CPA",Odisha,4.6
Vivaan Desai,3,Tax Consultant,SEBI RIA,Odisha,3.5
Krishna Agarwal,15,Wealth Manager,CFA,Odisha,4.1
Krishna Patel,5,Tax Consultant,"CA, CFP",Odisha,3.8
Ayaan Patel,26,Tax Consultant,CA,Odisha,4.4
Krishna Kulkarni,25,Financial Planner,"CFA, CA",Odisha,3.1
Avni Reddy,28,Financial Planner,"CA, CFP",Odisha,3.3
Aarohi Joshi,6,Financial Planner,"CFA, CA",Odisha,5.0
Sai Kapoor,22,Tax Consultant,"CFA, CFP",Odisha,3.9
Reyansh Nambiar,24,Investment Advisor,"SEBI RIA, CFA",Odisha,3.0
Diya Bansal,27,Investment Advisor,"CFA, SEBI RIA",Odisha,4.2
Ayaan Nambiar,10,Investment Advisor,"CFA, CFP",Punjab,4.5
Reyansh Desai,9,Chartered Accountant,"FRM, CA",Punjab,4.7
Arjun Rao,28,Wealth Manager,CFA,Punjab,4.1
Aditya Saxena,27,Wealth Manager,"CPA, CFP",Punjab,4.1
Kiara Kulkarni,26,Investment Advisor,SEBI RIA,Punjab,4.2
Anaya Mehta,14,Chartered Accountant,FRM,Punjab,4.7
Kiara Reddy,22,Chartered Accountant,"CFP, CPA",Punjab,3.6
Myra Reddy,29,Wealth Manager,"CFP, SEBI RIA",Punjab,4.6
Arjun Agarwal,8,Chartered Accountant,"FRM, CA",Punjab,3.4
Anaya Desai,29,Chartered Accountant,CPA,Punjab,3.6
Reyansh Gupta,22,Wealth Manager,"CA, CPA",Punjab,4.3
Ishaan Chowdhury,3,Tax Consultant,CPA,Punjab,3.3
Aditya Mehta,24,Financial Planner,"CFP, CA",Punjab,3.2
Diya Nair,25,Financial Planner,CFA,Punjab,3.1
Kiara Desai,9,Financial Planner,"CFP, CFA",Punjab,4.5
Vivaan Agarwal,16,Wealth Manager,"SEBI RIA, CPA",Punjab,4.8
Sai Nair,16,Wealth Manager,"SEBI RIA, CFP",Punjab,3.9
Vivaan Sharma,27,Financial Planner,CFP,Punjab,3.1
Vivaan Tiwari,28,Investment Advisor,CA,Punjab,4.8
Krishna Mehta,30,Wealth Manager,"CPA, CFA",Punjab,3.2
Vivaan Patel,5,Chartered Accountant,CFP,Punjab,4.0
Vivaan Reddy,13,Wealth Manager,"CPA, CA",Punjab,3.6
Saanvi Sharma,19,Wealth Manager,"CA, CFP",Punjab,4.6
Arjun Sharma,30,Chartered Accountant,"FRM, CFA",Punjab,4.8
Sai Tiwari,24,Wealth Manager,"CFP, FRM",Punjab,4.7
Meera Reddy,1,Investment Advisor,CFP,Punjab,4.1
Diya Mehta,24,Wealth Manager,CFP,Punjab,3.3
Anaya Reddy,26,Tax Consultant,"CPA, CFP",Punjab,4.3
Ishaan Nair,30,Investment Advisor,CA,Punjab,4.8
Meera Desai,28,Tax Consultant,"CA, CFP",Punjab,4.1
Myra Rao,13,Investment Advisor,"CFA, SEBI RIA",Rajasthan,3.5
Vivaan Gupta,3,Chartered Accountant,SEBI RIA,Rajasthan,3.7
Sai Verma,19,Tax Consultant,"CA, CFP",Rajasthan,4.6
Aadhya Reddy,7,Chartered Accountant,"FRM, CFP",Rajasthan,4.6
Vihaan Reddy,13,Tax Consultant,"SEBI RIA, CFA",Rajasthan,4.5
Diya Reddy,8,Wealth Manager,FRM,Rajasthan,4.5
Ayaan Rao,4,Wealth Manager,CA,Rajasthan,3.4
Pari Saxena,15,Wealth Manager,"CA, SEBI RIA",Rajasthan,3.9
Saanvi Gupta,6,Chartered Accountant,"CA, SEBI RIA",Rajasthan,3.5
Vihaan Mehta,29,Chartered Accountant,"CFP, FRM",Rajasthan,4.6
Kiara Mehta,19,Wealth Manager,"CA, CPA",Rajasthan,3.9
Kiara Sharma,1,Investment Advisor,"CFA, CPA",Rajasthan,3.1
Myra Joshi,4,Chartered Accountant,"CPA, CFP",Rajasthan,4.7
Kiara Iyer,3,Tax Consultant,SEBI RIA,Rajasthan,5.0
Diya Desai,27,Investment Advisor,FRM,Rajasthan,3.9
Sai Kulkarni,1,Tax Consultant,"SEBI RIA, FRM",Rajasthan,3.7
Sai Desai,8,Wealth Manager,"CFA, CPA",Rajasthan,4.4
Vihaan Agarwal,20,Investment Advisor,FRM,Rajasthan,4.0
Aditya Chowdhury,24,Tax Consultant,"SEBI RIA, CPA",Rajasthan,4.1
Myra Verma,24,Tax Consultant,"CFA, FRM",Rajasthan,3.0
Aadhya Rao,29,Financial Planner,CPA,Rajasthan,4.4
Saanvi Patel,17,Tax Consultant,"SEBI RIA, FRM",Rajasthan,3.0
Aditya Bansal,22,Chartered Accountant,"FRM, CA",Rajasthan,3.5
Pari Desai,7,Financial Planner,"FRM, CFP",Rajasthan,4.0
Krishna Rao,27,Financial Planner,"CPA, SEBI RIA",Rajasthan,3.2
Kiara Rao,16,Wealth Manager,"CFP, CPA",Rajasthan,4.3
Aditya Desai,6,Tax Consultant,CA,Rajasthan,4.7
Ayaan Saxena,19,Tax Consultant,"CFA, CA",Rajasthan,4.1
Aarav Patel,30,Wealth Manager,FRM,Rajasthan,3.5
Avni Desai,4,Wealth Manager,"CFA, CA",Rajasthan,4.7
Krishna Verma,14,Investment Advisor,CFA,Sikkim,4.7
Aarohi Verma,29,Investment Advisor,CPA,Sikkim,4.6
Aadhya Kapoor,16,Financial Planner,"FRM, CFP",Sikkim,4.2
Reyansh Iyer,12,Investment Advisor,CPA,Sikkim,3.5
Vihaan Gupta,18,Wealth Manager,"CA, CPA",Sikkim,3.3
Vihaan Sharma,24,Financial Planner,CPA,Sikkim,3.7
Aarav Bansal,19,Investment Advisor,CFA,Sikkim,4.3
Meera Chowdhury,29,Wealth Manager,SEBI RIA,Sikkim,4.5
Meera Bansal,3,Tax Consultant,CFA,Sikkim,3.2
Meera Tiwari,20,Financial Planner,"SEBI RIA, CFP",Sikkim,4.5
Arjun Nambiar,17,Wealth Manager,CFA,Sikkim,4.6
Vivaan Mehta,23,Investment Advisor,CA,Sikkim,3.2
Saanvi Chowdhury,5,Tax Consultant,CPA,Sikkim,4.7
Ishaan Verma,5,Investment Advisor,"CFP, CA",Sikkim,4.2
Arjun Kulkarni,26,Tax Consultant,CPA,Sikkim,4.2
Pari Sharma,8,Chartered Accountant,CFA,Sikkim,4.3
Saanvi Reddy,20,Financial Planner,SEBI RIA,Sikkim,3.8
Aditya Joshi,9,Investment Advisor,"CA, FRM",Sikkim,4.8
Vivaan Nair,9,Investment Advisor,CFA,Sikkim,4.9
Diya Tiwari,23,Chartered Accountant,CFP,Sikkim,4.8
Saanvi Saxena,19,Financial Planner,"CPA, SEBI RIA",Sikkim,4.7
Ishaan Joshi,8,Investment Advisor,CFP,Sikkim,3.8
Aditya Sharma,6,Wealth Manager,SEBI RIA,Sikkim,4.7
Kiara Nambiar,1,Wealth Manager,"FRM, CA",Sikkim,3.7
Aditya Nair,14,Investment Advisor,"CFP, CFA",Sikkim,3.4
Anaya Malhotra,10,Wealth Manager,"FRM, CFA",Sikkim,4.8
Aditya Nambiar,21,Wealth Manager,"CA, CFA",Sikkim,4.2
Ishaan Saxena,18,Financial Planner,CPA,Sikkim,4.0
Avni Tiwari,29,Financial Planner,FRM,Sikkim,3.1
Meera Nambiar,11,Investment Advisor,CFA,Sikkim,4.0
Meera Agarwal,10,Wealth Manager,"CA, CFA",Tamil Nadu,3.7
Arjun Malhotra,14,Financial Planner,SEBI RIA,Tamil Nadu,3.8
Pari Verma,1,Investment Advisor,"FRM, CPA",Tamil Nadu,3.1
Aditya Rao,12,Chartered Accountant,"FRM, CFA",Tamil Nadu,4.6
Diya Agarwal,13,Chartered Accountant,"FRM, CA",Tamil Nadu,4.6
Aarohi Agarwal,7,Investment Advisor,"CA, CFA",Tamil Nadu,4.4
Vivaan Saxena,24,Investment Advisor,"CA, CFP",Tamil Nadu,3.4
Myra Patel,28,Investment Advisor,FRM,Tamil Nadu,3.3
Arjun Iyer,18,Wealth Manager,FRM,Tamil Nadu,4.5
Vivaan Kapoor,16,Tax Consultant,"CA, SEBI RIA",Tamil Nadu,4.2
Krishna Saxena,25,Wealth Manager,"CFP, CPA",Tamil Nadu,4.0
Aarav Saxena,12,Financial Planner,"CFP, SEBI RIA",Tamil Nadu,4.1
Vivaan Bansal,25,Financial Planner,CFP,Tamil Nadu,3.8
Aarav Verma,23,Chartered Accountant,"CA, CPA",Tamil Nadu,3.6
Kiara Bansal,18,Investment Advisor,CFP,Tamil Nadu,3.1
Sai Chowdhury,10,Investment Advisor,CFA,Tamil Nadu,3.9
Kiara Chowdhury,22,Financial Planner,"SEBI RIA, CFP",Tamil Nadu,3.9
Aarav Gupta,27,Tax Consultant,"FRM, CFP",Tamil Nadu,3.6
Reyansh Bansal,24,Tax Consultant,CPA,Tamil Nadu,3.8
Kiara Tiwari,27,Wealth Manager,"FRM, CFA",Tamil Nadu,3.4
Sai Reddy,9,Chartered Accountant,"FRM, CA",Tamil Nadu,4.9
Krishna Nambiar,17,Wealth Manager,"CA, FRM",Tamil Nadu,4.8
Aditya Kulkarni,18,Tax Consultant,CPA,Tamil Nadu,4.0
Avni Agarwal,19,Tax Consultant,CFA,Tamil Nadu,4.1
Kiara Gupta,21,Financial Planner,CFA,Tamil Nadu,3.8
Vihaan Iyer,23,Chartered Accountant,CPA,Tamil Nadu,3.6
Aarohi Mehta,29,Financial Planner,CFA,Tamil Nadu,4.6
Aarohi Chowdhury,7,Chartered Accountant,"CFP, FRM",Tamil Nadu,4.7
Kiara Saxena,17,Investment Advisor,SEBI RIA,Tamil Nadu,4.9
Pari Chowdhury,22,Financial Planner,"CFA, CPA",Tamil Nadu,3.6
Aarav Tiwari,18,Tax Consultant,CFP,Telangana,3.2
Aditya Iyer,27,Investment Advisor,"FRM, CA",Telangana,4.8
Diya Kulkarni,3,Investment Advisor,"FRM, SEBI RIA",Telangana,3.7
Aarohi Gupta,26,Wealth Manager,"CFP, CFA",Telangana,4.8
Krishna Tiwari,24,Investment Advisor,"CFA, FRM",Telangana,4.2
Ishaan Patel,17,Investment Advisor,CFP,Telangana,4.1
Arjun Mehta,21,Chartered Accountant,"CA, FRM",Telangana,3.9
Sai Nambiar,8,Financial Planner,"CPA, CA",Telangana,3.8
Reyansh Joshi,16,Chartered Accountant,"SEBI RIA, CPA",Telangana,4.1
Ishaan Iyer,1,Wealth Manager,CA,Telangana,4.3
Aditya Malhotra,1,Tax Consultant,"CA, CFA",Telangana,4.1
Meera Sharma,15,Wealth Manager,FRM,Telangana,3.3
Sai Agarwal,7,Wealth Manager,CFA,Telangana,4.0
Aditya Kapoor,15,Financial Planner,"SEBI RIA, CPA",Telangana,3.2
Myra Chowdhury,17,Investment Advisor,"CFA, CA",Telangana,3.7
Meera Nair,24,Tax Consultant,SEBI RIA,Telangana,4.3
Anaya Joshi,27,Wealth Manager,FRM,Telangana,4.9
Ishaan Reddy,27,Wealth Manager,"FRM, SEBI RIA",Telangana,4.9
Arjun Nair,28,Tax Consultant,"CA, CPA",Telangana,3.3
Myra Agarwal,6,Tax Consultant,FRM,Telangana,3.7
Vivaan Nambiar,16,Financial Planner,CPA,Telangana,3.5
Aadhya Desai,2,Financial Planner,"CFA, CPA",Telangana,3.9
Vivaan Rao,3,Wealth Manager,"FRM, SEBI RIA",Telangana,4.5
Vivaan Malhotra,6,Investment Advisor,"CA, CPA",Telangana,3.9
Aadhya Gupta,12,Financial Planner,"CFA, CA",Telangana,4.1
Vihaan Desai,28,Investment Advisor,CA,Telangana,3.6
Vihaan Joshi,14,Wealth Manager,"CFA, CFP",Telangana,4.7
Aarav Agarwal,21,Investment Advisor,"FRM, CFA",Telangana,3.3
Aarav Nair,30,Tax Consultant,CA,Telangana,4.2
Vihaan Kulkarni,2,Chartered Accountant,FRM,Telangana,3.0
Aarav Chowdhury,16,Wealth Manager,"CPA, SEBI RIA",Tripura,3.8
Aadhya Agarwal,25,Investment Advisor,CFP,Tripura,4.4
Ishaan Desai,18,Wealth Manager,CPA,Tripura,4.2
Arjun Verma,11,Chartered Accountant,FRM,Tripura,3.8
Aadhya Chowdhury,3,Financial Planner,CFA,Tripura,3.6
Reyansh Saxena,2,Wealth Manager,"FRM, SEBI RIA",Tripura,3.5
Ishaan Bansal,6,Chartered Accountant,CFA,Tripura,4.0
Avni Sharma,30,Wealth Manager,CPA,Tripura,3.1
Saanvi Agarwal,10,Wealth Manager,"CFA, FRM",Tripura,3.6
Ayaan Gupta,27,Financial Planner,SEBI RIA,Tripura,4.4
Reyansh Kapoor,7,Tax Consultant,CFP,Tripura,3.6
Ayaan Bansal,10,Financial Planner,"SEBI RIA, CFP",Tripura,5.0
Ishaan Sharma,9,Tax Consultant,CPA,Tripura,3.6
Ishaan Gupta,25,Wealth Manager,"FRM, CFP",Tripura,3.4
Anaya Verma,21,Investment Advisor,"SEBI RIA, CPA",Tripura,3.9
Diya Kapoor,29,Investment Advisor,"CFP, CA",Tripura,3.8
Kiara Agarwal,9,Tax Consultant,"CA, CFP",Tripura,4.9
Anaya Chowdhury,2,Tax Consultant,"SEBI RIA, FRM",Tripura,3.9
Ishaan Tiwari,1,Wealth Manager,"CA, CPA",Tripura,4.1
Aarohi Bansal,27,Wealth Manager,"CFA, FRM",Tripura,3.9
Vihaan Chowdhury,12,Tax Consultant,"CFP, FRM",Tripura,3.3
Aadhya Nambiar,10,Financial Planner,"SEBI RIA, CFA",Tripura,3.6
Ayaan Agarwal,13,Chartered Accountant,CPA,Tripura,4.0
Krishna Kapoor,3,Chartered Accountant,"CPA, CA",Tripura,3.8
Ishaan Kapoor,7,Investment Advisor,CPA,Tripura,3.6
